outGlobalCount,outPhase,outBreathWfm,outHeartWfm,outHeartRate_FFT,outBreathRate_FFT,outBreathRate_Peak,outHeartRate_Peak,outConfidenceMetricHeart,outConfidenceMetricBreath,outEnergyBreath,outEnergyHeart,outBreathWfm_smoothed
,,-0.008269636,89.0625,,,,,,,,,-0.008269636
,,-0.004497087,89.0625,,,,,,,,,-0.004497087
,,-0.008117376,89.0625,,,,,,,,,-0.008117376
,,-0.013597569,89.0625,,,,,,,,,-0.013597569
,,-0.011885826,89.0625,,,,,,,,,-0.011885826
,,-0.001420923,89.0625,,,,,,,,,-0.001420923
,,0.008977579,89.0625,,,,,,,,,0.008977579
,,0.010361811,89.0625,,,,,,,,,0.010361811
,,5.39e-05,89.0625,,,,,,,,,5.39e-05
,,-0.014267837,89.0625,,,,,,,,,-0.014267837
,,-0.018549368,89.0625,,,,,,,,,-0.018549368
,,-0.012873744,89.0625,,,,,,,,,-0.012873744
,,-0.005559888,89.0625,,,,,,,,,-0.005559888
,,0.009599283,89.0625,,,,,,,,,0.009599283
,,0.03351164,89.0625,,,,,,,,,0.03351164
,,0.042062543,118.359375,,,,,,,,,0.042062543
,,0.019821588,118.359375,,,,,,,,,0.019821588
,,-0.011173219,118.359375,,,,,,,,,-0.011173219
,,-0.019661255,118.359375,,,,,,,,,-0.019661255
,,-0.004825996,118.359375,,,,,,,,,-0.004825996
,,0.008970094,118.359375,,,,,,,,,0.008970094
,,0.006012276,118.359375,,,,,,,,,0.006012276
,,-0.005575541,118.359375,,,,,,,,,-0.005575541
,,-0.033252697,118.359375,,,,,,,,,-0.033252697
,,-0.13887866,118.359375,,,,,,,,,-0.13887866
,,-0.32763565,118.359375,,,,,,,,,-0.32763565
,,-0.45355356,118.359375,,,,,,,,,-0.45355356
,,-0.30927148,118.359375,,,,,,,,,-0.30927148
,,0.29696116,118.359375,,,,,,,,,0.29696116
,,,118.359375,,,,,,,,,0.29696116
,,,118.359375,,,,,,,,,0.29696116
,,,118.359375,,,,,,,,,0.29696116
,,-0.46932203,118.359375,,,,,,,,,-0.46932203
,,,118.359375,,,,,,,,,-0.46932203
,,,118.359375,,,,,,,,,-0.46932203
,,-0.3489027,118.359375,,,,,,,,,-0.3489027
,,-0.14012173,118.359375,,,,,,,,,-0.14012173
,,-0.23249732,118.359375,,,,,,,,,-0.23249732
