outGlobalCount,outPhase,outBreathWfm,outHeartWfm,outHeartRate_FFT,outBreathRate_FFT,outBreathRate_Peak,outHeartRate_Peak,outConfidenceMetricHeart,outConfidenceMetricBreath,outEnergyBreath,outEnergyHeart
,,0.21049646,72.65625,,,,,,,,
,,,72.65625,,,,,,,,
,,,72.65625,,,,,,,,
,,0.34206164,72.65625,,,,,,,,
,,0.19905084,72.65625,,,,,,,,
,,0.1719693,72.65625,,,,,,,,
,,0.15876573,72.65625,,,,,,,,
,,0.05040157,72.65625,,,,,,,,
,,-0.12825799,73.828125,,,,,,,,
,,-0.27279764,73.828125,,,,,,,,
,,-0.31876048,73.828125,,,,,,,,
,,-0.27758718,73.828125,,,,,,,,
,,-0.194558,73.828125,,,,,,,,
,,-0.1157576,73.828125,,,,,,,,
,,-0.08691492,73.828125,,,,,,,,
,,-0.12366255,73.828125,,,,,,,,
,,-0.15232086,73.828125,,,,,,,,
,,-0.04262817,73.828125,,,,,,,,
,,0.2318914,73.828125,,,,,,,,
,,,73.828125,,,,,,,,
,,0.43789187,73.828125,,,,,,,,
,,0.13666928,73.828125,,,,,,,,
,,-0.16654752,73.828125,,,,,,,,
,,-0.41744247,73.828125,,,,,,,,
,,,73.828125,,,,,,,,
,,,73.828125,,,,,,,,
,,,73.828125,,,,,,,,
,,-0.30534315,73.828125,,,,,,,,
,,,73.828125,,,,,,,,
,,,73.828125,,,,,,,,
,,,73.828125,,,,,,,,
,,0.06759831,73.828125,,,,,,,,
,,-0.37543425,73.828125,,,,,,,,
,,-0.15939078,73.828125,,,,,,,,
,,0.4198949,73.828125,,,,,,,,
,,,73.828125,,,,,,,,
,,,73.828125,,,,,,,,
,,,75.0,,,,,,,,
,,0.32643193,75.0,,,,,,,,
,,0.30150533,75.0,,,,,,,,
,,0.2624023,75.0,,,,,,,,
,,-0.13315427,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,-0.28117207,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,0.12884232,75.0,,,,,,,,
,,-0.2817818,75.0,,,,,,,,
,,-0.34473938,75.0,,,,,,,,
,,-0.15074795,75.0,,,,,,,,
,,0.11703259,75.0,,,,,,,,
,,0.28720713,75.0,,,,,,,,
,,0.36230707,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,-0.22314852,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,-0.41913313,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,0.39498013,75.0,,,,,,,,
,,0.020824566,75.0,,,,,,,,
,,0.019337356,75.0,,,,,,,,
,,0.119759575,75.0,,,,,,,,
,,-0.01394181,75.0,,,,,,,,
,,-0.32526577,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,-0.40756172,75.0,,,,,,,,
,,-0.16252717,75.0,,,,,,,,
,,0.024577737,75.0,,,,,,,,
,,0.08403781,75.0,,,,,,,,
,,0.078499705,75.0,,,,,,,,
,,0.08653596,75.0,,,,,,,,
,,0.12791586,75.0,,,,,,,,
,,0.17002945,75.0,,,,,,,,
,,0.17925681,75.0,,,,,,,,
,,0.15623507,75.0,,,,,,,,
,,0.12529865,75.0,,,,,,,,
,,0.111453995,75.0,,,,,,,,
,,0.12145791,75.0,,,,,,,,
,,0.12926707,75.0,,,,,,,,
,,0.09870428,75.0,,,,,,,,
,,0.02778083,75.0,,,,,,,,
,,-0.048356146,75.0,,,,,,,,
,,-0.08949518,75.0,,,,,,,,
,,-0.080679715,75.0,,,,,,,,
,,-0.053641558,75.0,,,,,,,,
,,-0.06211415,75.0,,,,,,,,
,,-0.1093508,75.0,,,,,,,,
,,-0.13304691,75.0,,,,,,,,
,,-0.09701559,75.0,,,,,,,,
,,-0.05911263,75.0,,,,,,,,
,,-0.086172335,75.0,,,,,,,,
,,-0.13636324,75.0,,,,,,,,
,,-0.114416964,75.0,,,,,,,,
,,-0.020829543,75.0,,,,,,,,
,,0.049552888,75.0,,,,,,,,
,,0.052726552,75.0,,,,,,,,
,,0.049469844,75.0,,,,,,,,
,,0.098557726,75.0,,,,,,,,
,,0.16283302,75.0,,,,,,,,
,,0.15091136,75.0,,,,,,,,
,,0.033272102,75.0,,,,,,,,
,,-0.099555366,75.0,,,,,,,,
,,-0.11902888,75.0,,,,,,,,
,,-0.0045095235,75.0,,,,,,,,
,,0.13247904,75.0,,,,,,,,
,,0.16399984,75.0,,,,,,,,
,,0.05251182,75.0,,,,,,,,
,,-0.12038596,75.0,,,,,,,,
,,-0.21547362,75.0,,,,,,,,
,,-0.16381471,75.0,,,,,,,,
,,-0.02622962,75.0,,,,,,,,
,,0.090655304,75.0,,,,,,,,
,,0.14298278,75.0,,,,,,,,
,,0.14848015,75.0,,,,,,,,
,,0.11235776,75.0,,,,,,,,
,,-0.007111378,75.0,,,,,,,,
,,-0.25880694,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,-0.14824739,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,0.25169158,75.0,,,,,,,,
,,-0.2679311,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,,75.0,,,,,,,,
,,-0.1508379,75.0,,,,,,,,
,,0.09338564,75.0,,,,,,,,
,,0.20505023,75.0,,,,,,,,
,,0.25150603,75.0,,,,,,,,
,,0.29717478,75.0,,,,,,,,
,,0.32619554,75.0,,,,,,,,
,,0.31332004,75.0,,,,,,,,
,,0.27629247,75.0,,,,,,,,
,,0.2309912,75.0,,,,,,,,
,,0.16934176,75.0,,,,,,,,
,,0.09889655,75.0,,,,,,,,
,,0.05282396,75.0,,,,,,,,
,,0.04645787,76.171875,,,,,,,,
,,0.054589152,76.171875,,,,,,,,
,,0.046625108,76.171875,,,,,,,,
,,0.020345002,76.171875,,,,,,,,
,,-0.014377922,76.171875,,,,,,,,
,,-0.055672497,76.171875,,,,,,,,
,,-0.09784797,76.171875,,,,,,,,
,,-0.12871099,76.171875,,,,,,,,
,,-0.14268672,76.171875,,,,,,,,
,,-0.13799427,76.171875,,,,,,,,
,,-0.115340635,76.171875,,,,,,,,
,,-0.08719578,76.171875,,,,,,,,
,,-0.068700194,76.171875,,,,,,,,
,,-0.060009465,76.171875,,,,,,,,
,,-0.050197385,76.171875,,,,,,,,
,,-0.03154713,76.171875,,,,,,,,
,,-0.0045394152,76.171875,,,,,,,,
,,0.027434826,76.171875,,,,,,,,
,,0.066210225,76.171875,,,,,,,,
,,0.107636794,76.171875,,,,,,,,
,,0.12468392,76.171875,,,,,,,,
,,0.09398705,76.171875,,,,,,,,
,,0.03488607,76.171875,,,,,,,,
,,-0.009181529,76.171875,,,,,,,,
,,-0.01538486,76.171875,,,,,,,,
,,0.008037683,76.171875,,,,,,,,
,,0.031161118,76.171875,,,,,,,,
,,0.021780651,76.171875,,,,,,,,
,,-0.019603282,76.171875,,,,,,,,
,,-0.05395347,76.171875,,,,,,,,
,,-0.049650222,76.171875,,,,,,,,
,,-0.01624765,76.171875,,,,,,,,
,,0.01801284,76.171875,,,,,,,,
,,0.0350572,76.171875,,,,,,,,
,,0.030088184,76.171875,,,,,,,,
,,0.01143717,76.171875,,,,,,,,
,,-0.0071266554,76.171875,,,,,,,,
,,-0.021611663,76.171875,,,,,,,,
,,-0.034556985,76.171875,,,,,,,,
,,-0.04256823,76.171875,,,,,,,,
,,-0.043815326,76.171875,,,,,,,,
,,-0.04661113,76.171875,,,,,,,,
,,-0.046361256,76.171875,,,,,,,,
,,-0.015290283,76.171875,,,,,,,,
,,0.054060746,76.171875,,,,,,,,
,,0.11674881,76.171875,,,,,,,,
,,0.10959655,76.171875,,,,,,,,
,,0.011695914,76.171875,,,,,,,,
,,-0.11494355,76.171875,,,,,,,,
,,-0.13859965,76.171875,,,,,,,,
,,0.011842404,76.171875,,,,,,,,
,,0.1992569,76.171875,,,,,,,,
,,0.20053849,76.171875,,,,,,,,
,,0.0078163,76.171875,,,,,,,,
,,-0.1736666,76.171875,,,,,,,,
,,-0.22345653,76.171875,,,,,,,,
,,-0.19511226,76.171875,,,,,,,,
,,-0.12771353,76.171875,,,,,,,,
,,0.011197254,76.171875,,,,,,,,
,,0.16000758,76.171875,,,,,,,,
,,0.1378543,76.171875,,,,,,,,
,,-0.07853708,76.171875,,,,,,,,
,,-0.18768153,76.171875,,,,,,,,
,,0.07204586,76.171875,,,,,,,,
,,,76.171875,,,,,,,,
,,,76.171875,,,,,,,,
,,0.27051735,76.171875,,,,,,,,
,,-0.014948368,76.171875,,,,,,,,
,,-0.12512487,76.171875,,,,,,,,
,,-0.20646946,76.171875,,,,,,,,
,,-0.36171058,76.171875,,,,,,,,
,,,76.171875,,,,,,,,
,,-0.35283935,76.171875,,,,,,,,
,,-0.104541734,76.171875,,,,,,,,
,,0.12118976,76.171875,,,,,,,,
,,0.20794886,76.171875,,,,,,,,
,,0.14887935,76.171875,,,,,,,,
,,0.032781392,76.171875,,,,,,,,
,,-0.034224942,76.171875,,,,,,,,
,,-0.026738957,76.171875,,,,,,,,
,,0.007971898,76.171875,,,,,,,,
,,0.03643412,76.171875,,,,,,,,
,,0.056922026,76.171875,,,,,,,,
,,0.064301424,76.171875,,,,,,,,
,,0.062665336,76.171875,,,,,,,,
,,0.07935217,76.171875,,,,,,,,
,,0.12354115,76.171875,,,,,,,,
,,0.17232391,76.171875,,,,,,,,
,,0.20544188,76.171875,,,,,,,,
,,0.22315264,76.171875,,,,,,,,
,,0.19311592,76.171875,,,,,,,,
,,-0.03470245,76.171875,,,,,,,,
,,,76.171875,,,,,,,,
,,,76.171875,,,,,,,,
,,,76.171875,,,,,,,,
,,-0.22039849,77.34375,,,,,,,,
,,0.33886942,77.34375,,,,,,,,
,,,77.34375,,,,,,,,
,,0.33596635,78.515625,,,,,,,,
,,0.3428306,78.515625,,,,,,,,
,,0.3371597,78.515625,,,,,,,,
,,0.0063179582,78.515625,,,,,,,,
,,,78.515625,,,,,,,,
,,,78.515625,,,,,,,,
,,-0.38784233,78.515625,,,,,,,,
,,0.17093697,78.515625,,,,,,,,
,,,78.515625,,,,,,,,
,,,78.515625,,,,,,,,
,,,78.515625,,,,,,,,
,,,78.515625,,,,,,,,
,,,78.515625,,,,,,,,
,,-0.20387793,78.515625,,,,,,,,
,,,78.515625,,,,,,,,
,,,78.515625,,,,,,,,
,,,78.515625,,,,,,,,
,,,78.515625,,,,,,,,
,,0.37601197,78.515625,,,,,,,,
,,,78.515625,,,,,,,,
,,0.3108086,78.515625,,,,,,,,
,,-0.11354077,78.515625,,,,,,,,
,,-0.120440006,78.515625,,,,,,,,
,,0.20497634,78.515625,,,,,,,,
,,0.43274063,78.515625,,,,,,,,
,,0.3468421,78.515625,,,,,,,,
,,0.05525908,78.515625,,,,,,,,
,,-0.2504174,78.515625,,,,,,,,
,,-0.41560733,79.6875,,,,,,,,
,,-0.3493675,110.15625,,,,,,,,
,,-0.11394209,110.15625,,,,,,,,
,,0.085870296,110.15625,,,,,,,,
,,0.108496055,110.15625,,,,,,,,
,,0.02208206,110.15625,,,,,,,,
,,-0.01742296,110.15625,,,,,,,,
,,0.034042284,110.15625,,,,,,,,
,,0.09889476,110.15625,,,,,,,,
,,0.10803598,110.15625,,,,,,,,
,,0.08048782,110.15625,,,,,,,,
,,0.085779846,110.15625,,,,,,,,
,,0.14580585,110.15625,,,,,,,,
,,0.1919744,110.15625,,,,,,,,
,,0.1424259,76.171875,,,,,,,,
,,0.011284322,76.171875,,,,,,,,
,,-0.09853193,76.171875,,,,,,,,
,,-0.11778462,76.171875,,,,,,,,
,,-0.077874266,76.171875,,,,,,,,
,,-0.03889285,76.171875,,,,,,,,
,,-0.015237801,76.171875,,,,,,,,
,,-0.004361607,76.171875,,,,,,,,
