accx,accy,accz,gyrx,gyry,gyrz,qw,qx,qy,qz,qyaw,qpitch,qroll,yaw,pitch,roll,gravaccx,gravaccy,gravaccz,counter
-0.27,0.82,-0.58,-0.37,-16.05,7.20,0.43,0.67,-0.57,-0.18,-73.60,-14.22,125.59,-81.11,-14.22,125.59,0.52,1.07,-0.01,303865,1721297163.5206902
-0.25,0.81,-0.58,0.73,-15.81,6.84,0.43,0.67,-0.57,-0.18,-73.44,-14.20,125.57,-80.95,-14.20,125.57,0.54,1.05,-0.02,303866,1721297163.540167
-0.23,0.82,-0.59,0.06,-15.93,7.45,0.43,0.67,-0.57,-0.18,-73.30,-14.02,125.58,-80.81,-14.02,125.58,0.56,1.06,-0.03,303867,1721297163.5501401
-0.21,0.85,-0.59,0.18,-15.99,7.39,0.43,0.68,-0.57,-0.19,-73.12,-13.72,125.45,-80.63,-13.72,125.45,0.58,1.09,-0.03,303868,1721297163.5541286
-0.20,0.84,-0.54,-2.32,-17.27,6.71,0.43,0.68,-0.57,-0.19,-72.87,-13.43,125.02,-80.38,-13.43,125.02,0.60,1.07,0.02,303869,1721297163.5551257
-0.26,0.82,-0.63,4.27,-14.65,6.10,0.43,0.68,-0.57,-0.19,-72.81,-13.52,125.39,-80.32,-13.52,125.39,0.54,1.05,-0.07,303870,1721297163.5581174
-0.18,0.83,-0.59,-0.06,-15.87,7.26,0.43,0.68,-0.57,-0.19,-72.67,-13.18,125.35,-80.18,-13.18,125.35,0.61,1.06,-0.02,303871,1721297163.5591154
-0.23,0.87,-0.60,1.89,-15.63,6.71,0.43,0.68,-0.56,-0.19,-72.49,-13.11,125.22,-80.00,-13.11,125.22,0.56,1.10,-0.04,303872,1721297163.5601137
-0.26,0.87,-0.60,0.85,-16.48,5.98,0.43,0.68,-0.56,-0.19,-72.32,-13.22,125.09,-79.83,-13.22,125.09,0.54,1.10,-0.04,303873,1721297163.5611103
-0.22,0.84,-0.57,-0.98,-17.09,6.96,0.43,0.68,-0.56,-0.19,-72.12,-13.13,124.93,-79.63,-13.13,124.93,0.58,1.07,-0.02,303874,1721297163.562107
-0.23,0.83,-0.63,3.11,-14.95,6.04,0.43,0.68,-0.56,-0.19,-72.03,-13.04,125.25,-79.54,-13.04,125.25,0.57,1.05,-0.06,303875,1721297163.562107
-0.21,0.88,-0.55,-3.60,-18.19,7.08,0.43,0.68,-0.56,-0.19,-71.75,-12.84,124.69,-79.26,-12.84,124.69,0.59,1.11,0.01,303876,1721297163.5641017
-0.21,0.85,-0.54,-1.22,-17.58,6.10,0.43,0.68,-0.56,-0.19,-71.52,-12.77,124.38,-79.03,-12.77,124.38,0.59,1.07,0.01,303877,1721297163.5740764
-0.24,0.90,-0.58,-0.92,-17.46,6.23,0.44,0.68,-0.55,-0.19,-71.32,-12.79,124.14,-78.83,-12.79,124.14,0.57,1.12,-0.03,303878,1721297163.5860438
-0.24,0.89,-0.54,0.49,-17.15,5.00,0.44,0.68,-0.55,-0.19,-71.10,-12.85,123.76,-78.61,-12.85,123.76,0.57,1.11,0.00,303879,1721297163.5880384
-0.26,0.88,-0.48,-2.62,-18.49,4.88,0.44,0.68,-0.55,-0.19,-70.78,-13.13,123.03,-78.29,-13.13,123.03,0.56,1.11,0.05,303880,1721297163.5980108
-0.29,0.85,-0.53,0.43,-17.40,3.78,0.45,0.68,-0.55,-0.19,-70.60,-13.58,122.86,-78.11,-13.58,122.86,0.53,1.08,-0.00,303881,1721297163.6059892
-0.24,0.86,-0.54,-2.14,-18.55,5.19,0.45,0.68,-0.55,-0.19,-70.41,-13.56,122.70,-77.92,-13.56,122.70,0.58,1.10,-0.01,303882,1721297163.6159635
-0.25,0.90,-0.51,0.67,-17.76,3.78,0.45,0.68,-0.55,-0.19,-70.16,-13.60,122.27,-77.67,-13.60,122.27,0.58,1.13,0.01,303883,1721297163.6249585
-0.26,0.89,-0.51,-2.14,-18.55,3.60,0.46,0.68,-0.55,-0.19,-69.92,-13.77,121.90,-77.43,-13.77,121.90,0.56,1.13,0.00,303884,1721297163.632448
-0.24,0.86,-0.54,0.31,-17.52,3.72,0.46,0.68,-0.54,-0.19,-69.77,-13.74,121.88,-77.28,-13.74,121.88,0.59,1.10,-0.03,303885,1721297163.6424296
-0.28,0.89,-0.48,-3.48,-18.98,4.03,0.46,0.68,-0.54,-0.19,-69.43,-14.07,121.23,-76.94,-14.07,121.23,0.55,1.13,0.02,303886,1721297163.653395
-0.28,0.89,-0.50,-0.61,-18.07,3.30,0.46,0.68,-0.54,-0.19,-69.21,-14.29,120.90,-76.72,-14.29,120.90,0.55,1.14,0.00,303887,1721297163.6613746
-0.31,0.89,-0.50,-1.89,-18.49,3.66,0.47,0.67,-0.54,-0.19,-69.01,-14.68,120.69,-76.52,-14.68,120.69,0.52,1.14,-0.01,303888,1721297163.670349
-0.24,0.87,-0.50,-0.55,-18.07,3.72,0.47,0.68,-0.54,-0.19,-68.83,-14.58,120.54,-76.34,-14.58,120.54,0.59,1.12,-0.01,303889,1721297163.6793268
-0.29,0.88,-0.48,-2.14,-18.74,4.21,0.47,0.67,-0.54,-0.19,-68.60,-14.85,120.24,-76.11,-14.85,120.24,0.54,1.14,0.00,303890,1721297163.6922903
-0.27,0.89,-0.49,-1.34,-18.49,4.03,0.47,0.67,-0.54,-0.19,-68.37,-14.92,119.97,-75.88,-14.92,119.97,0.57,1.15,-0.00,303891,1721297163.696282
-0.28,0.89,-0.46,-2.20,-18.86,4.27,0.48,0.67,-0.53,-0.19,-68.12,-15.08,119.57,-75.63,-15.08,119.57,0.56,1.15,0.02,303892,1721297163.7052557
-0.28,0.87,-0.52,2.32,-17.33,3.54,0.48,0.67,-0.53,-0.18,-68.02,-15.15,119.76,-75.53,-15.15,119.76,0.56,1.13,-0.05,303893,1721297163.717226
-0.24,0.91,-0.46,-4.82,-20.02,5.37,0.48,0.67,-0.53,-0.19,-67.73,-14.96,119.29,-75.24,-14.96,119.29,0.60,1.16,0.01,303894,1721297163.7252092
-0.33,0.86,-0.49,2.14,-17.76,3.78,0.48,0.67,-0.53,-0.18,-67.60,-15.38,119.32,-75.11,-15.38,119.32,0.52,1.13,-0.02,303895,1721297163.7337031
-0.30,0.88,-0.55,5.43,-16.24,3.54,0.48,0.67,-0.53,-0.18,-67.56,-15.54,119.71,-75.07,-15.54,119.71,0.54,1.15,-0.08,303896,1721297163.7426789
-0.23,0.91,-0.49,-4.76,-20.20,5.92,0.48,0.68,-0.53,-0.18,-67.30,-15.20,119.40,-74.81,-15.20,119.40,0.61,1.17,-0.01,303897,1721297163.7566419
-0.32,0.89,-0.47,-0.43,-18.92,4.70,0.48,0.67,-0.53,-0.18,-67.06,-15.59,119.13,-74.57,-15.59,119.13,0.52,1.16,-0.00,303898,1721297163.769607
-0.30,0.89,-0.52,1.77,-18.07,4.27,0.48,0.67,-0.53,-0.18,-66.94,-15.73,119.27,-74.45,-15.73,119.27,0.54,1.16,-0.05,303899,1721297163.7755911
-0.23,0.87,-0.46,-2.62,-19.59,5.86,0.48,0.68,-0.53,-0.18,-66.69,-15.43,118.96,-74.20,-15.43,118.96,0.61,1.14,0.01,303900,1721297163.7995276
-0.28,0.84,-0.48,2.01,-17.88,5.00,0.48,0.68,-0.53,-0.18,-66.54,-15.57,119.04,-74.05,-15.57,119.04,0.56,1.11,-0.01,303901,1721297163.8085027
-0.29,0.91,-0.47,-2.87,-19.84,6.04,0.49,0.68,-0.52,-0.18,-66.29,-15.62,118.70,-73.80,-15.62,118.70,0.56,1.18,-0.00,303902,1721297163.8134906
-0.31,0.88,-0.46,2.87,-18.19,4.52,0.49,0.68,-0.52,-0.18,-66.08,-15.88,118.53,-73.59,-15.88,118.53,0.54,1.15,-0.00,303903,1721297163.824465
-0.29,0.86,-0.50,0.00,-19.29,5.25,0.49,0.68,-0.52,-0.17,-65.97,-15.94,118.68,-73.48,-15.94,118.68,0.56,1.14,-0.04,303904,1721297163.8359478
-0.31,0.88,-0.47,0.12,-19.47,5.43,0.49,0.68,-0.52,-0.17,-65.77,-16.16,118.56,-73.28,-16.16,118.56,0.53,1.16,-0.01,303905,1721297163.8479152
-0.34,0.87,-0.43,-0.55,-19.78,4.76,0.49,0.67,-0.52,-0.17,-65.51,-16.62,118.20,-73.02,-16.62,118.20,0.51,1.15,0.03,303906,1721297163.8548965
-0.32,0.86,-0.51,3.48,-18.37,4.33,0.49,0.67,-0.52,-0.17,-65.43,-16.84,118.50,-72.94,-16.84,118.50,0.52,1.15,-0.05,303907,1721297163.8658676
-0.33,0.83,-0.44,-0.92,-19.96,5.68,0.50,0.67,-0.52,-0.16,-65.21,-17.24,118.33,-72.72,-17.24,118.33,0.51,1.13,0.02,303908,1721297163.8808284
-0.37,0.87,-0.44,0.92,-19.04,5.37,0.50,0.67,-0.52,-0.16,-64.92,-17.85,118.02,-72.43,-17.85,118.02,0.47,1.18,0.01,303909,1721297163.8868127
-0.39,0.85,-0.46,2.75,-18.74,5.19,0.50,0.67,-0.52,-0.16,-64.77,-18.43,118.08,-72.28,-18.43,118.08,0.45,1.16,-0.02,303910,1721297163.899777
-0.38,0.85,-0.46,1.53,-18.98,5.98,0.50,0.67,-0.52,-0.15,-64.60,-18.86,118.08,-72.11,-18.86,118.08,0.46,1.17,-0.02,303911,1721297163.906759
-0.39,0.87,-0.48,3.23,-18.25,6.16,0.50,0.67,-0.52,-0.15,-64.47,-19.17,118.14,-71.98,-19.17,118.14,0.45,1.20,-0.03,303912,1721297163.921723
-0.38,0.84,-0.45,0.85,-18.98,6.84,0.51,0.67,-0.52,-0.15,-64.29,-19.57,118.11,-71.80,-19.57,118.11,0.45,1.17,-0.01,303913,1721297163.930698
-0.41,0.84,-0.47,3.05,-17.94,6.96,0.51,0.67,-0.52,-0.14,-64.16,-20.05,118.22,-71.67,-20.05,118.22,0.42,1.18,-0.02,303914,1721297163.9361954
-0.41,0.85,-0.50,3.11,-17.88,8.06,0.51,0.67,-0.53,-0.14,-64.08,-20.37,118.51,-71.59,-20.37,118.51,0.42,1.20,-0.06,303915,1721297163.9401846
-0.39,0.87,-0.48,2.08,-18.25,8.79,0.51,0.67,-0.52,-0.14,-63.89,-20.54,118.47,-71.40,-20.54,118.47,0.43,1.22,-0.03,303916,1721297163.949161
-0.43,0.86,-0.47,2.26,-18.01,8.73,0.51,0.67,-0.52,-0.13,-63.69,-20.99,118.42,-71.20,-20.99,118.42,0.39,1.22,-0.02,303917,1721297163.9571402
-0.40,0.84,-0.51,3.85,-16.91,9.70,0.51,0.67,-0.53,-0.13,-63.64,-21.10,118.74,-71.15,-21.10,118.74,0.42,1.20,-0.06,303918,1721297163.9631264
-0.36,0.83,-0.51,1.65,-17.88,10.50,0.51,0.67,-0.53,-0.13,-63.59,-21.03,119.05,-71.10,-21.03,119.05,0.45,1.19,-0.06,303919,1721297163.9691074
-0.39,0.86,-0.49,2.75,-17.27,10.93,0.51,0.67,-0.52,-0.13,-63.42,-21.08,119.10,-70.93,-21.08,119.10,0.43,1.22,-0.04,303920,1721297163.9711027
-0.42,0.84,-0.50,5.68,-16.36,9.89,0.51,0.67,-0.52,-0.12,-63.32,-21.38,119.32,-70.83,-21.38,119.32,0.39,1.20,-0.05,303921,1721297163.9711027
-0.36,0.89,-0.52,1.89,-17.94,11.05,0.51,0.67,-0.52,-0.13,-63.16,-21.09,119.39,-70.67,-21.09,119.39,0.45,1.25,-0.06,303922,1721297163.9730964
-0.37,0.85,-0.52,5.00,-16.97,10.44,0.50,0.68,-0.52,-0.12,-63.07,-20.95,119.65,-70.58,-20.95,119.65,0.45,1.21,-0.06,303923,1721297163.9830713
-0.35,0.87,-0.50,2.01,-18.19,11.05,0.50,0.68,-0.52,-0.13,-62.88,-20.74,119.63,-70.39,-20.74,119.63,0.46,1.23,-0.04,303924,1721297163.991049
-0.35,0.87,-0.52,5.62,-16.97,10.01,0.50,0.68,-0.52,-0.13,-62.76,-20.55,119.79,-70.27,-20.55,119.79,0.46,1.22,-0.06,303925,1721297163.9990273
-0.33,0.83,-0.50,1.89,-18.37,10.74,0.50,0.68,-0.52,-0.13,-62.62,-20.26,119.94,-70.13,-20.26,119.94,0.49,1.18,-0.03,303926,1721297164.009999
-0.34,0.89,-0.54,5.80,-16.85,10.38,0.50,0.68,-0.52,-0.13,-62.50,-19.98,120.07,-70.01,-19.98,120.07,0.48,1.23,-0.07,303927,1721297164.0249631
-0.33,0.90,-0.48,-0.85,-19.78,11.17,0.50,0.69,-0.51,-0.13,-62.20,-19.72,119.73,-69.71,-19.72,119.73,0.49,1.23,-0.01,303928,1721297164.0269573
-0.35,0.84,-0.52,7.81,-16.97,8.79,0.50,0.69,-0.51,-0.13,-62.10,-19.69,120.01,-69.61,-19.69,120.01,0.47,1.18,-0.05,303929,1721297164.037444
-0.30,0.87,-0.55,2.56,-18.86,10.38,0.50,0.69,-0.51,-0.13,-62.00,-19.22,120.26,-69.51,-19.22,120.26,0.52,1.20,-0.07,303930,1721297164.0593855
-0.29,0.89,-0.48,2.62,-19.10,9.89,0.50,0.69,-0.51,-0.13,-61.73,-18.80,119.98,-69.24,-18.80,119.98,0.53,1.21,-0.01,303931,1721297164.060383
-0.34,0.84,-0.48,3.54,-18.98,9.09,0.50,0.69,-0.51,-0.13,-61.48,-18.93,119.89,-68.99,-18.93,119.89,0.48,1.17,-0.01,303932,1721297164.070356
-0.31,0.87,-0.51,3.36,-18.98,9.89,0.50,0.69,-0.50,-0.13,-61.21,-18.56,119.88,-68.72,-18.56,119.88,0.52,1.19,-0.03,303933,1721297164.0803359
-0.22,0.87,-0.49,4.46,-18.55,9.70,0.50,0.70,-0.50,-0.14,-61.00,-17.82,119.78,-68.51,-17.82,119.78,0.60,1.17,-0.01,303934,1721297164.0903032
-0.33,0.88,-0.49,2.69,-19.41,9.89,0.50,0.70,-0.50,-0.14,-60.75,-17.90,119.62,-68.26,-17.90,119.62,0.49,1.19,-0.02,303935,1721297164.0952902
-0.31,0.87,-0.48,1.71,-19.96,9.77,0.50,0.70,-0.50,-0.14,-60.50,-17.85,119.43,-68.01,-17.85,119.43,0.52,1.18,-0.01,303936,1721297164.1012735
-0.28,0.87,-0.51,5.00,-18.62,9.64,0.50,0.70,-0.50,-0.14,-60.34,-17.53,119.51,-67.85,-17.53,119.51,0.55,1.17,-0.04,303937,1721297164.11025
-0.29,0.88,-0.48,2.44,-19.47,10.50,0.50,0.70,-0.49,-0.14,-60.11,-17.34,119.33,-67.62,-17.34,119.33,0.55,1.18,-0.01,303938,1721297164.1182284
-0.26,0.84,-0.49,4.15,-19.04,9.58,0.50,0.70,-0.49,-0.14,-59.94,-17.05,119.40,-67.45,-17.05,119.40,0.57,1.14,-0.02,303939,1721297164.1282065
-0.31,0.86,-0.52,6.16,-18.31,9.52,0.50,0.70,-0.49,-0.14,-59.80,-17.07,119.62,-67.31,-17.07,119.62,0.52,1.15,-0.04,303940,1721297164.1386986
-0.22,0.90,-0.50,1.16,-20.02,10.93,0.49,0.71,-0.49,-0.14,-59.58,-16.41,119.51,-67.09,-16.41,119.51,0.62,1.18,-0.03,303941,1721297164.1496696
-0.26,0.87,-0.52,5.00,-19.17,9.46,0.49,0.71,-0.49,-0.14,-59.42,-16.15,119.64,-66.93,-16.15,119.64,0.58,1.15,-0.04,303942,1721297164.1556525
-0.28,0.89,-0.48,0.12,-20.63,10.62,0.49,0.71,-0.48,-0.14,-59.12,-16.02,119.40,-66.63,-16.02,119.40,0.56,1.17,-0.01,303943,1721297164.1696162
-0.23,0.84,-0.56,7.87,-18.25,8.79,0.49,0.71,-0.48,-0.14,-59.08,-15.58,119.96,-66.59,-15.58,119.96,0.61,1.11,-0.08,303944,1721297164.1755993
-0.21,0.91,-0.54,0.43,-20.94,10.74,0.49,0.72,-0.48,-0.14,-58.89,-15.03,120.04,-66.40,-15.03,120.04,0.62,1.17,-0.06,303945,1721297164.197544
-0.20,0.93,-0.49,-1.59,-21.79,10.50,0.49,0.72,-0.48,-0.15,-58.63,-14.55,119.70,-66.14,-14.55,119.70,0.64,1.18,-0.01,303946,1721297164.214496
-0.23,0.87,-0.52,6.90,-19.47,7.26,0.49,0.72,-0.47,-0.15,-58.48,-14.33,119.88,-65.99,-14.33,119.88,0.61,1.12,-0.04,303947,1721297164.2224765
-0.22,0.89,-0.54,1.53,-21.06,8.54,0.48,0.72,-0.47,-0.15,-58.32,-14.05,120.02,-65.83,-14.05,120.02,0.62,1.13,-0.05,303948,1721297164.2324507
-0.17,0.88,-0.52,3.48,-20.94,7.20,0.48,0.72,-0.47,-0.15,-58.14,-13.48,120.07,-65.65,-13.48,120.07,0.67,1.11,-0.03,303949,1721297164.2429378
-0.17,0.89,-0.52,4.21,-20.94,6.77,0.48,0.73,-0.47,-0.15,-57.96,-12.98,120.10,-65.47,-12.98,120.10,0.68,1.12,-0.03,303950,1721297164.2638834
-0.24,0.90,-0.51,1.77,-22.16,5.92,0.48,0.73,-0.47,-0.15,-57.73,-13.03,119.98,-65.24,-13.03,119.98,0.61,1.12,-0.02,303951,1721297164.2808387
-0.16,0.90,-0.57,3.78,-21.36,4.94,0.48,0.73,-0.46,-0.16,-57.60,-12.45,120.30,-65.11,-12.45,120.30,0.68,1.11,-0.08,303952,1721297164.289814
-0.20,0.90,-0.55,2.69,-22.03,4.82,0.48,0.73,-0.46,-0.16,-57.43,-12.30,120.44,-64.94,-12.30,120.44,0.64,1.12,-0.06,303953,1721297164.296801
-0.25,0.94,-0.52,0.24,-23.07,4.46,0.48,0.73,-0.46,-0.15,-57.21,-12.46,120.23,-64.72,-12.46,120.23,0.59,1.16,-0.03,303954,1721297164.3047729
-0.24,0.92,-0.59,5.13,-21.30,3.11,0.48,0.73,-0.46,-0.15,-57.08,-12.55,120.62,-64.59,-12.55,120.62,0.60,1.14,-0.09,303955,1721297164.315745
-0.24,0.93,-0.57,1.28,-22.46,4.33,0.48,0.73,-0.46,-0.15,-56.90,-12.58,120.67,-64.41,-12.58,120.67,0.60,1.15,-0.07,303956,1721297164.3277164
-0.26,0.96,-0.55,2.56,-21.85,4.03,0.48,0.73,-0.46,-0.15,-56.68,-12.74,120.54,-64.19,-12.74,120.54,0.58,1.18,-0.06,303957,1721297164.3392034
-0.29,0.95,-0.52,-0.12,-23.01,3.91,0.48,0.73,-0.46,-0.15,-56.43,-13.13,120.25,-63.94,-13.13,120.25,0.55,1.18,-0.03,303958,1721297164.3441892
-0.30,0.93,-0.56,3.48,-21.30,3.91,0.48,0.73,-0.46,-0.14,-56.26,-13.55,120.34,-63.77,-13.55,120.34,0.54,1.16,-0.07,303959,1721297164.3531668
-0.28,0.92,-0.55,0.92,-22.28,4.52,0.48,0.73,-0.46,-0.14,-56.10,-13.72,120.40,-63.61,-13.72,120.40,0.56,1.15,-0.06,303960,1721297164.360149
-0.28,0.90,-0.54,2.14,-21.67,4.46,0.48,0.73,-0.46,-0.14,-55.92,-13.92,120.43,-63.43,-13.92,120.43,0.56,1.14,-0.05,303961,1721297164.366133
-0.32,0.92,-0.50,-0.37,-23.07,4.33,0.49,0.73,-0.46,-0.14,-55.69,-14.35,120.19,-63.20,-14.35,120.19,0.52,1.17,-0.02,303962,1721297164.37012
-0.26,0.90,-0.55,2.26,-22.03,3.72,0.49,0.73,-0.46,-0.13,-55.53,-14.37,120.31,-63.04,-14.37,120.31,0.57,1.15,-0.06,303963,1721297164.3731132
-0.25,0.89,-0.53,-1.46,-23.50,4.33,0.49,0.73,-0.45,-0.13,-55.34,-14.32,120.31,-62.85,-14.32,120.31,0.59,1.13,-0.04,303964,1721297164.3761046
-0.30,0.89,-0.52,1.22,-22.46,3.48,0.49,0.73,-0.45,-0.13,-55.13,-14.67,120.25,-62.64,-14.67,120.25,0.54,1.14,-0.03,303965,1721297164.3820887
-0.34,0.88,-0.55,1.65,-22.83,2.69,0.49,0.73,-0.46,-0.12,-54.97,-15.30,120.46,-62.48,-15.30,120.46,0.49,1.14,-0.06,303966,1721297164.3850803
-0.33,0.90,-0.53,-2.08,-24.35,3.36,0.49,0.73,-0.46,-0.12,-54.76,-15.68,120.39,-62.27,-15.68,120.39,0.50,1.17,-0.04,303967,1721297164.3860781
-0.32,0.88,-0.55,1.59,-23.25,2.44,0.49,0.73,-0.46,-0.12,-54.62,-15.99,120.56,-62.13,-15.99,120.56,0.51,1.16,-0.06,303968,1721297164.38907
-0.32,0.91,-0.49,-3.66,-25.27,3.11,0.50,0.73,-0.45,-0.12,-54.31,-16.26,120.14,-61.82,-16.26,120.14,0.51,1.19,-0.00,303969,1721297164.3990445
-0.36,0.89,-0.49,-1.28,-24.48,2.32,0.50,0.73,-0.45,-0.11,-54.04,-16.77,119.87,-61.55,-16.77,119.87,0.47,1.18,-0.01,303970,1721297164.4130158
-0.33,0.84,-0.58,2.56,-22.58,2.01,0.50,0.73,-0.46,-0.11,-54.03,-17.00,120.37,-61.54,-17.00,120.37,0.49,1.13,-0.09,303971,1721297164.4150014
-0.31,0.89,-0.52,-1.40,-24.05,3.60,0.50,0.73,-0.45,-0.11,-53.81,-17.06,120.27,-61.32,-17.06,120.27,0.51,1.18,-0.04,303972,1721297164.4229832
-0.35,0.88,-0.51,0.73,-23.32,2.81,0.50,0.73,-0.45,-0.11,-53.60,-17.38,120.18,-61.11,-17.38,120.18,0.48,1.18,-0.03,303973,1721297164.4354646
-0.36,0.86,-0.54,2.69,-22.52,2.32,0.50,0.73,-0.45,-0.10,-53.50,-17.75,120.40,-61.01,-17.75,120.40,0.46,1.16,-0.06,303974,1721297164.4424458
-0.33,0.91,-0.55,-0.49,-23.93,3.85,0.50,0.73,-0.45,-0.10,-53.31,-17.78,120.43,-60.82,-17.78,120.43,0.49,1.21,-0.06,303975,1721297164.4504273
-0.33,0.87,-0.53,0.92,-23.50,3.48,0.50,0.73,-0.45,-0.10,-53.13,-17.89,120.49,-60.64,-17.89,120.49,0.49,1.18,-0.04,303976,1721297164.4613965
-0.36,0.87,-0.55,1.04,-23.38,3.30,0.50,0.73,-0.45,-0.09,-52.97,-18.21,120.70,-60.48,-18.21,120.70,0.46,1.18,-0.06,303977,1721297164.4703722
-0.30,0.88,-0.54,-0.67,-24.29,3.85,0.50,0.73,-0.45,-0.10,-52.79,-18.02,120.76,-60.30,-18.02,120.76,0.52,1.19,-0.06,303978,1721297164.4933102
-0.32,0.85,-0.54,1.65,-23.62,3.42,0.50,0.74,-0.45,-0.09,-52.66,-18.05,120.93,-60.17,-18.05,120.93,0.49,1.16,-0.06,303979,1721297164.4943078
-0.31,0.91,-0.47,-2.93,-25.15,4.03,0.50,0.74,-0.45,-0.09,-52.32,-17.95,120.40,-59.83,-17.95,120.40,0.51,1.22,0.01,303980,1721297164.4963048
-0.35,0.88,-0.47,-1.53,-25.33,3.11,0.50,0.73,-0.45,-0.09,-52.00,-18.22,119.99,-59.51,-18.22,119.99,0.47,1.20,0.01,303981,1721297164.507273
-0.35,0.83,-0.56,4.70,-22.83,2.26,0.50,0.74,-0.45,-0.09,-51.98,-18.44,120.53,-59.49,-18.44,120.53,0.47,1.14,-0.08,303982,1721297164.5142565
-0.34,0.91,-0.54,-1.40,-25.15,3.48,0.50,0.74,-0.45,-0.09,-51.77,-18.44,120.48,-59.28,-18.44,120.48,0.48,1.22,-0.06,303983,1721297164.5242355
-0.35,0.93,-0.55,0.37,-24.48,2.87,0.50,0.74,-0.44,-0.09,-51.56,-18.46,120.44,-59.07,-18.46,120.44,0.47,1.25,-0.07,303984,1721297164.5312228
-0.38,0.84,-0.63,2.62,-23.50,2.08,0.50,0.74,-0.45,-0.08,-51.63,-18.77,121.25,-59.14,-18.77,121.25,0.43,1.16,-0.14,303985,1721297164.5446932
-0.42,0.92,-0.57,-4.58,-25.45,5.07,0.50,0.74,-0.45,-0.08,-51.44,-19.17,121.23,-58.95,-19.17,121.23,0.39,1.25,-0.08,303986,1721297164.5646412
-0.40,0.95,-0.60,1.95,-23.01,3.60,0.50,0.74,-0.45,-0.08,-51.30,-19.31,121.32,-58.81,-19.31,121.32,0.41,1.28,-0.11,303987,1721297164.5716217
-0.41,0.93,-0.61,-1.04,-24.29,4.39,0.50,0.74,-0.45,-0.07,-51.18,-19.50,121.51,-58.69,-19.50,121.51,0.39,1.26,-0.12,303988,1721297164.5825937
-0.42,0.91,-0.58,-2.01,-23.50,5.55,0.50,0.74,-0.45,-0.07,-50.98,-19.82,121.53,-58.49,-19.82,121.53,0.39,1.25,-0.08,303989,1721297164.592566
-0.38,0.90,-0.60,0.12,-21.79,6.16,0.50,0.74,-0.45,-0.07,-50.87,-19.83,121.76,-58.38,-19.83,121.76,0.42,1.24,-0.11,303990,1721297164.6035361
-0.43,0.94,-0.56,-2.81,-23.13,7.02,0.50,0.74,-0.44,-0.07,-50.59,-20.07,121.50,-58.10,-20.07,121.50,0.38,1.29,-0.07,303991,1721297164.6095212
-0.44,0.87,-0.53,-1.46,-22.34,6.53,0.50,0.74,-0.44,-0.06,-50.38,-20.59,121.44,-57.89,-20.59,121.44,0.36,1.22,-0.05,303992,1721297164.6204937
-0.38,0.89,-0.54,-3.30,-22.64,8.00,0.50,0.74,-0.44,-0.06,-50.15,-20.57,121.31,-57.66,-20.57,121.31,0.42,1.24,-0.06,303993,1721297164.6314654
-0.39,0.89,-0.56,-3.42,-22.77,8.00,0.50,0.74,-0.44,-0.06,-49.96,-20.58,121.30,-57.47,-20.58,121.30,0.41,1.24,-0.07,303994,1721297164.6379626
-0.39,0.87,-0.61,-0.79,-21.48,7.51,0.50,0.74,-0.44,-0.06,-49.93,-20.57,121.67,-57.44,-20.57,121.67,0.40,1.23,-0.12,303995,1721297164.6489334
-0.44,0.88,-0.55,-3.54,-22.46,8.24,0.50,0.74,-0.44,-0.06,-49.71,-20.91,121.59,-57.22,-20.91,121.59,0.36,1.24,-0.06,303996,1721297164.658907
-0.39,0.90,-0.55,-2.87,-22.09,8.18,0.50,0.74,-0.44,-0.06,-49.47,-20.84,121.46,-56.98,-20.84,121.46,0.41,1.26,-0.06,303997,1721297164.670874
-0.41,0.86,-0.56,-2.93,-22.46,8.12,0.50,0.74,-0.44,-0.06,-49.32,-21.03,121.54,-56.83,-21.03,121.54,0.38,1.22,-0.07,303998,1721297164.6828437
-0.38,0.92,-0.50,-5.80,-23.07,8.73,0.51,0.74,-0.44,-0.06,-48.97,-20.94,121.05,-56.48,-20.94,121.05,0.42,1.28,-0.02,303999,1721297164.699805
-0.47,0.84,-0.57,0.79,-21.06,6.71,0.51,0.74,-0.44,-0.05,-48.89,-21.55,121.38,-56.40,-21.55,121.38,0.33,1.21,-0.08,304000,1721297164.7177498
-0.41,0.83,-0.56,-6.41,-22.89,10.01,0.50,0.74,-0.44,-0.05,-48.80,-21.70,121.63,-56.31,-21.70,121.63,0.38,1.20,-0.08,304001,1721297164.7257314
-0.41,0.87,-0.54,-0.73,-20.26,9.34,0.50,0.74,-0.44,-0.05,-48.58,-21.74,121.54,-56.09,-21.74,121.54,0.38,1.24,-0.05,304002,1721297164.733714
-0.44,0.89,-0.52,-3.78,-21.48,9.70,0.51,0.74,-0.44,-0.05,-48.33,-21.96,121.32,-55.84,-21.96,121.32,0.35,1.26,-0.04,304003,1721297164.7382185
-0.46,0.87,-0.52,-1.77,-21.24,9.46,0.51,0.74,-0.43,-0.04,-48.09,-22.29,121.16,-55.60,-22.29,121.16,0.33,1.25,-0.04,304004,1721297164.7412112
-0.42,0.89,-0.50,-5.92,-22.22,10.44,0.51,0.74,-0.43,-0.04,-47.76,-22.30,120.77,-55.27,-22.30,120.77,0.38,1.27,-0.03,304005,1721297164.746198
-0.41,0.82,-0.59,1.10,-19.17,9.77,0.51,0.74,-0.43,-0.04,-47.79,-22.31,121.35,-55.30,-22.31,121.35,0.38,1.20,-0.11,304006,1721297164.7471962
