accx,accy,accz,gyrx,gyry,gyrz,qw,qx,qy,qz,qyaw,qpitch,qroll,yaw,pitch,roll,gravaccx,gravaccy,gravaccz,counter
-0.16,0.85,-0.53,1.34,0.12,-0.49,0.29,0.37,-0.79,-0.39,-125.02,-9.85,122.36,-132.53,-9.85,122.36,0.67,1.02,-0.00,303153,1721297157.184899
-0.18,0.88,-0.58,-0.24,-0.18,0.24,0.29,0.37,-0.79,-0.39,-125.04,-9.84,122.49,-132.55,-9.84,122.49,0.65,1.05,-0.05,303154,1721297157.194872
-0.18,0.85,-0.50,-2.75,-1.22,0.31,0.29,0.37,-0.79,-0.39,-124.97,-9.89,122.15,-132.48,-9.89,122.15,0.66,1.03,0.03,303155,1721297157.2048478
-0.15,0.84,-0.50,-0.67,-0.43,-0.24,0.29,0.37,-0.79,-0.39,-124.94,-9.78,121.98,-132.45,-9.78,121.98,0.68,1.01,0.02,303156,1721297157.2098413
-0.21,0.90,-0.49,-2.26,-1.34,-0.06,0.29,0.36,-0.79,-0.40,-124.85,-10.00,121.48,-132.36,-10.00,121.48,0.63,1.08,0.02,303157,1721297157.2118292
-0.20,0.88,-0.44,-2.20,-1.40,-1.22,0.30,0.36,-0.79,-0.40,-124.72,-10.19,120.73,-132.23,-10.19,120.73,0.65,1.06,0.06,303158,1721297157.2128267
-0.16,0.84,-0.52,2.56,0.79,-1.53,0.30,0.36,-0.79,-0.40,-124.76,-10.10,120.92,-132.27,-10.10,120.92,0.68,1.02,-0.02,303159,1721297157.2148223
-0.18,0.87,-0.54,-2.20,-0.85,0.37,0.29,0.36,-0.79,-0.40,-124.77,-10.06,121.02,-132.28,-10.06,121.02,0.67,1.05,-0.03,303160,1721297157.2233183
-0.18,0.87,-0.50,-2.81,-1.10,0.49,0.30,0.36,-0.79,-0.40,-124.74,-10.05,120.84,-132.25,-10.05,120.84,0.67,1.04,0.01,303161,1721297157.2322938
-0.20,0.87,-0.49,-1.10,-0.31,0.24,0.30,0.36,-0.79,-0.40,-124.70,-10.24,120.65,-132.21,-10.24,120.65,0.64,1.05,0.01,303162,1721297157.2472565
-0.23,0.92,-0.50,-2.44,-1.16,0.37,0.30,0.36,-0.79,-0.40,-124.64,-10.53,120.34,-132.15,-10.53,120.34,0.62,1.11,-0.00,303163,1721297157.2492485
-0.22,0.90,-0.44,-5.00,-2.01,0.73,0.30,0.36,-0.78,-0.40,-124.54,-10.77,119.83,-132.05,-10.77,119.83,0.63,1.08,0.05,303164,1721297157.2582288
-0.20,0.85,-0.48,1.10,0.37,-0.12,0.30,0.36,-0.78,-0.40,-124.53,-10.86,119.81,-132.04,-10.86,119.81,0.65,1.04,0.01,303165,1721297157.2681973
-0.19,0.87,-0.54,-1.10,-0.12,1.83,0.30,0.36,-0.79,-0.40,-124.58,-10.78,120.07,-132.09,-10.78,120.07,0.66,1.06,-0.05,303166,1721297157.2761765
-0.21,0.88,-0.43,-5.62,-1.34,3.23,0.31,0.36,-0.78,-0.41,-124.45,-10.96,119.48,-131.96,-10.96,119.48,0.64,1.07,0.05,303167,1721297157.2841554
-0.22,0.87,-0.49,1.40,0.98,1.95,0.31,0.36,-0.78,-0.40,-124.44,-11.13,119.44,-131.95,-11.13,119.44,0.64,1.07,-0.00,303168,1721297157.2931304
-0.20,0.92,-0.47,-3.78,-1.04,3.54,0.31,0.36,-0.78,-0.41,-124.33,-11.10,118.99,-131.84,-11.10,118.99,0.66,1.11,0.01,303169,1721297157.3041048
-0.18,0.90,-0.43,-5.92,-2.01,3.54,0.31,0.36,-0.78,-0.41,-124.20,-10.93,118.43,-131.71,-10.93,118.43,0.69,1.09,0.04,303170,1721297157.3130813
-0.18,0.86,-0.46,1.10,0.61,2.01,0.31,0.36,-0.78,-0.41,-124.19,-10.84,118.41,-131.70,-10.84,118.41,0.69,1.05,0.00,303171,1721297157.321572
-0.17,0.86,-0.50,-0.67,0.12,2.81,0.31,0.36,-0.78,-0.41,-124.22,-10.68,118.62,-131.73,-10.68,118.62,0.69,1.05,-0.03,303172,1721297157.331545
-0.16,0.89,-0.41,-5.19,-1.77,3.42,0.31,0.36,-0.78,-0.42,-124.11,-10.44,118.08,-131.62,-10.44,118.08,0.71,1.07,0.05,303173,1721297157.3385303
-0.17,0.88,-0.42,-2.44,-0.79,2.38,0.31,0.36,-0.77,-0.42,-124.03,-10.36,117.70,-131.54,-10.36,117.70,0.70,1.06,0.04,303174,1721297157.3504946
-0.16,0.86,-0.50,1.71,0.55,1.59,0.31,0.36,-0.78,-0.42,-124.08,-10.18,118.01,-131.59,-10.18,118.01,0.71,1.04,-0.03,303175,1721297157.359472
-0.15,0.90,-0.44,-5.25,-2.01,2.93,0.31,0.36,-0.77,-0.42,-124.00,-9.96,117.68,-131.51,-9.96,117.68,0.72,1.08,0.02,303176,1721297157.3654547
-0.16,0.86,-0.45,0.37,0.06,0.85,0.31,0.36,-0.77,-0.42,-124.00,-9.88,117.69,-131.51,-9.88,117.69,0.71,1.03,0.01,303177,1721297157.3774226
-0.16,0.87,-0.50,3.60,1.22,0.37,0.31,0.36,-0.78,-0.42,-124.06,-9.80,118.04,-131.57,-9.80,118.04,0.71,1.04,-0.04,303178,1721297157.3913875
-0.15,0.89,-0.46,-5.00,-1.83,2.20,0.30,0.36,-0.77,-0.42,-124.03,-9.63,117.92,-131.54,-9.63,117.92,0.73,1.06,0.00,303179,1721297157.3993673
-0.18,0.91,-0.45,-1.53,-0.98,0.79,0.31,0.36,-0.77,-0.42,-123.98,-9.66,117.68,-131.49,-9.66,117.68,0.70,1.08,0.01,303180,1721297157.40934
-0.16,0.88,-0.48,-0.92,-0.73,0.61,0.30,0.36,-0.77,-0.42,-123.99,-9.54,117.80,-131.50,-9.54,117.80,0.72,1.05,-0.02,303181,1721297157.4258118
-0.14,0.89,-0.47,-1.59,-0.92,1.16,0.30,0.36,-0.77,-0.42,-123.99,-9.34,117.82,-131.50,-9.34,117.82,0.73,1.05,-0.01,303182,1721297157.4367821
